SOURCE_FILE,OACI,CIAD,NAME,MUNICIPIO,UF,ALT_M,OPERAÇÃO,OP_DIURNA,OP_NOTURNA,LAT_DD,LON_DD,N_RWYS,RUNWAY1_D_NM,RUNWAY2_D_NM,RUNWAY3_D_NM,RUNWAY1_LEN_M,RUNWAY2_LEN_M,RUNWAY3_LEN_M,RUNWAY1_WID_M,RUNWAY2_WID_M,RUNWAY3_WID_M,DATASET_TYPE
2025_08_22_BR_aerodromes_public,SBJE,CE0003,COMANDANTE ARISTON PESSOA,CRUZ,CE,27.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-2.9066666666666667,-40.35805555555556,1,80.0,,,2200.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SSWS,RS0025,CAÇAPAVA DO SUL,CAÇAPAVA DO SUL,RS,416.0,VFR Diurno,,,-30.549722222222226,-53.45805555555556,1,90.0,,,1000.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSXX,SC0017,MUNICIPAL JOÃO WINCKLER,XANXERÊ,SC,910.0,VFR Diurno/Noturno,,,-26.875,-52.37277777777778,1,180.0,,,1149.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSZR,RS0027,LUIS ALBERTO LEHR,SANTA ROSA,RS,309.0,VFR Diurno/Noturno,,,-27.90888888888889,-54.52222222222222,1,70.0,,,1200.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBPG,PR0012,COMANDANTE ANTÔNIO AMILTON BERALDO,PONTA GROSSA,PR,789.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-25.184444444444445,-50.14388888888889,1,80.0,,,1430.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWBC,AM0017,BARCELOS,BARCELOS,AM,34.0,VFR Diurno,,,-0.9811111111111112,-62.919444444444444,1,90.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWBE,CE0006,WALFRIDO SALMITO DE ALMEIDA,SÃO BENEDITO,CE,884.0,VFR Diurno/Noturno,,,-4.042777777777777,-40.89388888888889,1,100.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSSB,RS0014,SÃO BORJA,SÃO BORJA,RS,80.0,VFR Diurno,,,-28.654722222222222,-56.03472222222222,2,70.0,140.0,,1500.0,700.0,,30.0,18.0,,heliport
2025_08_22_BR_aerodromes_public,SWBR,AM0018,BORBA,BORBA,AM,30.0,VFR Diurno,,,-4.4061111111111115,-59.6025,1,120.0,,,1200.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SWCA,AM0007,CARAUARI,CARAUARI,AM,108.0,VFR Diurno,,,-4.871388888888889,-66.89750000000001,1,40.0,,,1665.0,,,18.0,,,heliport
